municipality,equipment_id,equipment_name,predicted_demand,allocated_stock,procurement_needed,urgency_level,unit_cost_lakhs,estimated_procurement_cost,annual_budget_lakhs,budget_feasible
Coimbatore,E137,Portable Sanitation Kiosk,9,1,8,HIGH,8,64,70000,YES
Udaipur,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,28000,YES
Thane,E137,Portable Sanitation Kiosk,9,1,8,HIGH,8,64,76000,YES
Madurai,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,51000,YES
Mysuru,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,42000,YES
Kochi,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,52000,YES
Kanpur,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,85000,YES
Panaji,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,22000,YES
Patna,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,52000,YES
Dehradun,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,36000,YES
Bhubaneswar,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,42000,YES
Tirupati,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,24000,YES
Indore,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,75000,YES
Nagpur,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,70000,YES
Guwahati,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,35000,YES
Shimla,E137,Portable Sanitation Kiosk,6,1,5,HIGH,8,40,16000,YES
Howrah,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,51000,YES
Jodhpur,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,41000,YES
Aurangabad,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,45000,YES
Vijayawada,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,43000,YES
Nashik,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,58000,YES
Faridabad,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,68000,YES
Ludhiana,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,62000,YES
Siliguri,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,30000,YES
Asansol,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,56000,YES
Jabalpur,E137,Portable Sanitation Kiosk,8,1,7,HIGH,8,56,44000,YES
Gwalior,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,37000,YES
Ranchi,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,38000,YES
Hubli,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,33000,YES
Raipur,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,41000,YES
Durgapur,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,27000,YES
Malda,E137,Portable Sanitation Kiosk,6,1,5,HIGH,8,40,14000,YES
Kharagpur,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,17000,YES
Haldia,E137,Portable Sanitation Kiosk,7,1,6,HIGH,8,48,15000,YES
Delhi,E138,Municipal Cleaning Utility Vehicle,20,3,17,HIGH,11,187,650000,YES
Mumbai,E138,Municipal Cleaning Utility Vehicle,20,3,17,HIGH,11,187,500000,YES
Bengaluru,E138,Municipal Cleaning Utility Vehicle,20,3,17,HIGH,11,187,320000,YES
Chennai,E138,Municipal Cleaning Utility Vehicle,20,2,18,HIGH,11,198,310000,YES
Hyderabad,E138,Municipal Cleaning Utility Vehicle,20,2,18,HIGH,11,198,280000,YES
Kolkata,E138,Municipal Cleaning Utility Vehicle,20,2,18,HIGH,11,198,210000,YES
Ahmedabad,E138,Municipal Cleaning Utility Vehicle,20,2,18,HIGH,11,198,230000,YES
Pune,E138,Municipal Cleaning Utility Vehicle,20,2,18,HIGH,11,198,120000,YES
Jaipur,E138,Municipal Cleaning Utility Vehicle,19,2,17,HIGH,11,187,98000,YES
Surat,E138,Municipal Cleaning Utility Vehicle,20,2,18,HIGH,11,198,140000,YES
Lucknow,E138,Municipal Cleaning Utility Vehicle,19,2,17,HIGH,11,187,95000,YES
Visakhapatnam,E138,Municipal Cleaning Utility Vehicle,19,2,17,HIGH,11,187,82000,YES
Kanpur,E138,Municipal Cleaning Utility Vehicle,18,2,16,HIGH,11,176,85000,YES
Indore,E138,Municipal Cleaning Utility Vehicle,19,2,17,HIGH,11,187,75000,YES
Agra,E138,Municipal Cleaning Utility Vehicle,16,2,14,HIGH,11,154,53000,YES
Coimbatore,E138,Municipal Cleaning Utility Vehicle,19,2,17,HIGH,11,187,70000,YES
Thane,E138,Municipal Cleaning Utility Vehicle,19,2,17,HIGH,11,187,76000,YES
Nagpur,E138,Municipal Cleaning Utility Vehicle,18,2,16,HIGH,11,176,70000,YES
Varanasi,E138,Municipal Cleaning Utility Vehicle,15,2,13,HIGH,11,143,47000,YES
Patna,E138,Municipal Cleaning Utility Vehicle,16,2,14,HIGH,11,154,52000,YES
Kochi,E138,Municipal Cleaning Utility Vehicle,19,2,17,HIGH,11,187,52000,YES
Amritsar,E138,Municipal Cleaning Utility Vehicle,16,2,14,HIGH,11,154,46000,YES
Madurai,E138,Municipal Cleaning Utility Vehicle,17,2,15,HIGH,11,165,51000,YES
Srinagar,E138,Municipal Cleaning Utility Vehicle,14,2,12,HIGH,11,132,39000,YES
Faridabad,E138,Municipal Cleaning Utility Vehicle,18,2,16,HIGH,11,176,68000,YES
Ludhiana,E138,Municipal Cleaning Utility Vehicle,18,2,16,HIGH,11,176,62000,YES
Nashik,E138,Municipal Cleaning Utility Vehicle,17,2,15,HIGH,11,165,58000,YES
Mysuru,E138,Municipal Cleaning Utility Vehicle,17,2,15,HIGH,11,165,42000,YES
Bhubaneswar,E138,Municipal Cleaning Utility Vehicle,16,2,14,HIGH,11,154,42000,YES
Dehradun,E138,Municipal Cleaning Utility Vehicle,15,2,13,HIGH,11,143,36000,YES
Howrah,E138,Municipal Cleaning Utility Vehicle,17,2,15,HIGH,11,165,51000,YES
Guwahati,E138,Municipal Cleaning Utility Vehicle,15,2,13,HIGH,11,143,35000,YES
Aurangabad,E138,Municipal Cleaning Utility Vehicle,16,2,14,HIGH,11,154,45000,YES
Udaipur,E138,Municipal Cleaning Utility Vehicle,15,2,13,HIGH,11,143,28000,YES
Jodhpur,E138,Municipal Cleaning Utility Vehicle,15,2,13,HIGH,11,143,41000,YES
Vijayawada,E138,Municipal Cleaning Utility Vehicle,17,2,15,HIGH,11,165,43000,YES
Asansol,E138,Municipal Cleaning Utility Vehicle,17,2,15,HIGH,11,165,56000,YES
Jabalpur,E138,Municipal Cleaning Utility Vehicle,16,2,14,HIGH,11,154,44000,YES
Raipur,E138,Municipal Cleaning Utility Vehicle,16,2,14,HIGH,11,154,41000,YES
Ranchi,E138,Municipal Cleaning Utility Vehicle,15,2,13,HIGH,11,143,38000,YES
Shimla,E138,Municipal Cleaning Utility Vehicle,13,2,11,HIGH,11,121,16000,YES
Tirupati,E138,Municipal Cleaning Utility Vehicle,14,2,12,HIGH,11,132,24000,YES
Panaji,E138,Municipal Cleaning Utility Vehicle,16,2,14,HIGH,11,154,22000,YES
Gwalior,E138,Municipal Cleaning Utility Vehicle,15,2,13,HIGH,11,143,37000,YES
Siliguri,E138,Municipal Cleaning Utility Vehicle,15,2,13,HIGH,11,143,30000,YES
Hubli,E138,Municipal Cleaning Utility Vehicle,15,2,13,HIGH,11,143,33000,YES
Durgapur,E138,Municipal Cleaning Utility Vehicle,16,2,14,HIGH,11,154,27000,YES
Malda,E138,Municipal Cleaning Utility Vehicle,12,1,11,HIGH,11,121,14000,YES
Kharagpur,E138,Municipal Cleaning Utility Vehicle,13,1,12,HIGH,11,132,17000,YES
Haldia,E138,Municipal Cleaning Utility Vehicle,14,1,13,HIGH,11,143,15000,YES
Delhi,E139,Fire Tender Vehicle,20,1,19,HIGH,65,1235,650000,YES
Mumbai,E139,Fire Tender Vehicle,20,1,19,HIGH,65,1235,500000,YES
Bengaluru,E139,Fire Tender Vehicle,20,1,19,HIGH,65,1235,320000,YES
Chennai,E139,Fire Tender Vehicle,20,1,19,HIGH,65,1235,310000,YES
Kolkata,E139,Fire Tender Vehicle,20,0,20,HIGH,65,1300,210000,YES
Hyderabad,E139,Fire Tender Vehicle,20,0,20,HIGH,65,1300,280000,YES
Ahmedabad,E139,Fire Tender Vehicle,20,0,20,HIGH,65,1300,230000,YES
Pune,E139,Fire Tender Vehicle,18,0,18,HIGH,65,1170,120000,YES
Surat,E139,Fire Tender Vehicle,18,0,18,HIGH,65,1170,140000,YES
Visakhapatnam,E139,Fire Tender Vehicle,15,0,15,HIGH,65,975,82000,YES
Jaipur,E139,Fire Tender Vehicle,16,0,16,HIGH,65,1040,98000,YES
Lucknow,E139,Fire Tender Vehicle,16,0,16,HIGH,65,1040,95000,YES
Kanpur,E139,Fire Tender Vehicle,15,0,15,HIGH,65,975,85000,YES
Thane,E139,Fire Tender Vehicle,15,0,15,HIGH,65,975,76000,YES
Indore,E139,Fire Tender Vehicle,15,0,15,HIGH,65,975,75000,YES
Coimbatore,E139,Fire Tender Vehicle,15,0,15,HIGH,65,975,70000,YES
Kochi,E139,Fire Tender Vehicle,14,0,14,HIGH,65,910,52000,YES
Nagpur,E139,Fire Tender Vehicle,15,0,15,HIGH,65,975,70000,YES
Agra,E139,Fire Tender Vehicle,13,0,13,HIGH,65,845,53000,YES
Patna,E139,Fire Tender Vehicle,13,0,13,HIGH,65,845,52000,YES
Howrah,E139,Fire Tender Vehicle,13,0,13,HIGH,65,845,51000,YES
Varanasi,E139,Fire Tender Vehicle,12,0,12,HIGH,65,780,47000,YES
Madurai,E139,Fire Tender Vehicle,14,0,14,HIGH,65,910,51000,YES
Bhubaneswar,E139,Fire Tender Vehicle,13,0,13,HIGH,65,845,42000,YES
Faridabad,E139,Fire Tender Vehicle,14,0,14,HIGH,65,910,68000,YES
Srinagar,E139,Fire Tender Vehicle,11,0,11,HIGH,65,715,39000,YES
Asansol,E139,Fire Tender Vehicle,13,0,13,HIGH,65,845,56000,YES
Ludhiana,E139,Fire Tender Vehicle,14,0,14,HIGH,65,910,62000,YES
Nashik,E139,Fire Tender Vehicle,14,0,14,HIGH,65,910,58000,YES
Amritsar,E139,Fire Tender Vehicle,13,0,13,HIGH,65,845,46000,YES
Dehradun,E139,Fire Tender Vehicle,12,0,12,HIGH,65,780,36000,YES
Guwahati,E139,Fire Tender Vehicle,11,0,11,HIGH,65,715,35000,YES
Vijayawada,E139,Fire Tender Vehicle,13,0,13,HIGH,65,845,43000,YES
Mysuru,E139,Fire Tender Vehicle,13,0,13,HIGH,65,845,42000,YES
Aurangabad,E139,Fire Tender Vehicle,13,0,13,HIGH,65,845,45000,YES
Ranchi,E139,Fire Tender Vehicle,12,0,12,HIGH,65,780,38000,YES
Durgapur,E139,Fire Tender Vehicle,12,0,12,HIGH,65,780,27000,YES
Raipur,E139,Fire Tender Vehicle,12,0,12,HIGH,65,780,41000,YES
Jabalpur,E139,Fire Tender Vehicle,13,0,13,HIGH,65,845,44000,YES
Siliguri,E139,Fire Tender Vehicle,11,0,11,HIGH,65,715,30000,YES
Panaji,E139,Fire Tender Vehicle,11,0,11,HIGH,65,715,22000,YES
Gwalior,E139,Fire Tender Vehicle,12,0,12,HIGH,65,780,37000,YES
Jodhpur,E139,Fire Tender Vehicle,12,0,12,HIGH,65,780,41000,YES
Hubli,E139,Fire Tender Vehicle,12,0,12,HIGH,65,780,33000,YES
Tirupati,E139,Fire Tender Vehicle,11,0,11,HIGH,65,715,24000,YES
Haldia,E139,Fire Tender Vehicle,10,0,10,HIGH,65,650,15000,YES
Shimla,E139,Fire Tender Vehicle,10,0,10,HIGH,65,650,16000,YES
Udaipur,E139,Fire Tender Vehicle,11,0,11,HIGH,65,715,28000,YES
Kharagpur,E139,Fire Tender Vehicle,10,0,10,HIGH,65,650,17000,YES
Malda,E139,Fire Tender Vehicle,9,0,9,HIGH,65,585,14000,YES
Kolkata,E140,Portable Rescue Boat,0,0,0,LOW,18,0,210000,YES
Chennai,E140,Portable Rescue Boat,0,0,0,LOW,18,0,310000,YES
Mumbai,E140,Portable Rescue Boat,0,0,0,LOW,18,0,500000,YES
Kochi,E140,Portable Rescue Boat,0,0,0,LOW,18,0,52000,YES
Srinagar,E140,Portable Rescue Boat,0,0,0,LOW,18,0,39000,YES
Visakhapatnam,E140,Portable Rescue Boat,0,0,0,LOW,18,0,82000,YES
Bengaluru,E140,Portable Rescue Boat,0,0,0,LOW,18,0,320000,YES
Varanasi,E140,Portable Rescue Boat,0,0,0,LOW,18,0,47000,YES
Guwahati,E140,Portable Rescue Boat,0,0,0,LOW,18,0,35000,YES
Shimla,E140,Portable Rescue Boat,0,0,0,LOW,18,0,16000,YES
Panaji,E140,Portable Rescue Boat,0,0,0,LOW,18,0,22000,YES
Dehradun,E140,Portable Rescue Boat,0,0,0,LOW,18,0,36000,YES
Bhubaneswar,E140,Portable Rescue Boat,0,0,0,LOW,18,0,42000,YES
Agra,E140,Portable Rescue Boat,0,0,0,LOW,18,0,53000,YES
Howrah,E140,Portable Rescue Boat,0,0,0,LOW,18,0,51000,YES
Tirupati,E140,Portable Rescue Boat,0,0,0,LOW,18,0,24000,YES
Delhi,E140,Portable Rescue Boat,0,0,0,LOW,18,0,650000,YES
Siliguri,E140,Portable Rescue Boat,0,0,0,LOW,18,0,30000,YES
Madurai,E140,Portable Rescue Boat,0,0,0,LOW,18,0,51000,YES
Hyderabad,E140,Portable Rescue Boat,0,0,0,LOW,18,0,280000,YES
Patna,E140,Portable Rescue Boat,0,0,0,LOW,18,0,52000,YES
Pune,E140,Portable Rescue Boat,0,0,0,LOW,18,0,120000,YES
Lucknow,E140,Portable Rescue Boat,0,0,0,LOW,18,0,95000,YES
Vijayawada,E140,Portable Rescue Boat,0,0,0,LOW,18,0,43000,YES
Udaipur,E140,Portable Rescue Boat,0,0,0,LOW,18,0,28000,YES
Amritsar,E140,Portable Rescue Boat,0,0,0,LOW,18,0,46000,YES
Mysuru,E140,Portable Rescue Boat,0,0,0,LOW,18,0,42000,YES
Thane,E140,Portable Rescue Boat,0,0,0,LOW,18,0,76000,YES
Ahmedabad,E140,Portable Rescue Boat,0,0,0,LOW,18,0,230000,YES
Malda,E140,Portable Rescue Boat,0,0,0,LOW,18,0,14000,YES
Jaipur,E140,Portable Rescue Boat,0,0,0,LOW,18,0,98000,YES
Asansol,E140,Portable Rescue Boat,0,0,0,LOW,18,0,56000,YES
Haldia,E140,Portable Rescue Boat,0,0,0,LOW,18,0,15000,YES
Coimbatore,E140,Portable Rescue Boat,0,0,0,LOW,18,0,70000,YES
Durgapur,E140,Portable Rescue Boat,0,0,0,LOW,18,0,27000,YES
Ranchi,E140,Portable Rescue Boat,0,0,0,LOW,18,0,38000,YES
Kanpur,E140,Portable Rescue Boat,0,0,0,LOW,18,0,85000,YES
Indore,E140,Portable Rescue Boat,0,0,0,LOW,18,0,75000,YES
Aurangabad,E140,Portable Rescue Boat,0,0,0,LOW,18,0,45000,YES
Kharagpur,E140,Portable Rescue Boat,0,0,0,LOW,18,0,17000,YES
Nagpur,E140,Portable Rescue Boat,0,0,0,LOW,18,0,70000,YES
Raipur,E140,Portable Rescue Boat,0,0,0,LOW,18,0,41000,YES
Jabalpur,E140,Portable Rescue Boat,0,0,0,LOW,18,0,44000,YES
Gwalior,E140,Portable Rescue Boat,0,0,0,LOW,18,0,37000,YES
Surat,E140,Portable Rescue Boat,0,0,0,LOW,18,0,140000,YES
Jodhpur,E140,Portable Rescue Boat,0,0,0,LOW,18,0,41000,YES
Hubli,E140,Portable Rescue Boat,0,0,0,LOW,18,0,33000,YES
Nashik,E140,Portable Rescue Boat,0,0,0,LOW,18,0,58000,YES
Faridabad,E140,Portable Rescue Boat,0,0,0,LOW,18,0,68000,YES
Ludhiana,E140,Portable Rescue Boat,0,0,0,LOW,18,0,62000,YES
Delhi,E141,Emergency Communication Van,19,2,17,HIGH,20,340,650000,YES
Mumbai,E141,Emergency Communication Van,16,2,14,HIGH,20,280,500000,YES
Chennai,E141,Emergency Communication Van,13,2,11,HIGH,20,220,310000,YES
Bengaluru,E141,Emergency Communication Van,13,2,11,HIGH,20,220,320000,YES
Kolkata,E141,Emergency Communication Van,11,2,9,HIGH,20,180,210000,YES
Hyderabad,E141,Emergency Communication Van,12,2,10,HIGH,20,200,280000,YES
Ahmedabad,E141,Emergency Communication Van,12,2,10,HIGH,20,200,230000,YES
Pune,E141,Emergency Communication Van,11,2,9,HIGH,20,180,120000,YES
Visakhapatnam,E141,Emergency Communication Van,10,2,8,HIGH,20,160,82000,YES
Kochi,E141,Emergency Communication Van,10,2,8,HIGH,20,160,52000,YES
Srinagar,E141,Emergency Communication Van,8,2,6,HIGH,20,120,39000,YES
Lucknow,E141,Emergency Communication Van,10,2,8,HIGH,20,160,95000,YES
Agra,E141,Emergency Communication Van,9,2,7,HIGH,20,140,53000,YES
Varanasi,E141,Emergency Communication Van,8,2,6,HIGH,20,120,47000,YES
Guwahati,E141,Emergency Communication Van,8,2,6,HIGH,20,120,35000,YES
Bhubaneswar,E141,Emergency Communication Van,9,2,7,HIGH,20,140,42000,YES
Jaipur,E141,Emergency Communication Van,10,2,8,HIGH,20,160,98000,YES
Patna,E141,Emergency Communication Van,9,2,7,HIGH,20,140,52000,YES
Howrah,E141,Emergency Communication Van,9,2,7,HIGH,20,140,51000,YES
Dehradun,E141,Emergency Communication Van,8,2,6,HIGH,20,120,36000,YES
Surat,E141,Emergency Communication Van,11,2,9,HIGH,20,180,140000,YES
Panaji,E141,Emergency Communication Van,9,2,7,HIGH,20,140,22000,YES
Madurai,E141,Emergency Communication Van,9,2,7,HIGH,20,140,51000,YES
Thane,E141,Emergency Communication Van,10,2,8,HIGH,20,160,76000,YES
Shimla,E141,Emergency Communication Van,7,2,5,HIGH,20,100,16000,YES
Siliguri,E141,Emergency Communication Van,8,2,6,HIGH,20,120,30000,YES
Tirupati,E141,Emergency Communication Van,8,2,6,HIGH,20,120,24000,YES
Coimbatore,E141,Emergency Communication Van,10,2,8,HIGH,20,160,70000,YES
Amritsar,E141,Emergency Communication Van,9,2,7,HIGH,20,140,46000,YES
Vijayawada,E141,Emergency Communication Van,9,2,7,HIGH,20,140,43000,YES
Kanpur,E141,Emergency Communication Van,9,2,7,HIGH,20,140,85000,YES
Mysuru,E141,Emergency Communication Van,9,2,7,HIGH,20,140,42000,YES
Indore,E141,Emergency Communication Van,10,2,8,HIGH,20,160,75000,YES
Asansol,E141,Emergency Communication Van,9,2,7,HIGH,20,140,56000,YES
Nagpur,E141,Emergency Communication Van,10,2,8,HIGH,20,160,70000,YES
Udaipur,E141,Emergency Communication Van,8,1,7,HIGH,20,140,28000,YES
Aurangabad,E141,Emergency Communication Van,9,1,8,HIGH,20,160,45000,YES
Ranchi,E141,Emergency Communication Van,8,1,7,HIGH,20,140,38000,YES
Malda,E141,Emergency Communication Van,7,1,6,HIGH,20,120,14000,YES
Haldia,E141,Emergency Communication Van,8,1,7,HIGH,20,140,15000,YES
Durgapur,E141,Emergency Communication Van,8,1,7,HIGH,20,140,27000,YES
Jabalpur,E141,Emergency Communication Van,9,1,8,HIGH,20,160,44000,YES
Nashik,E141,Emergency Communication Van,9,1,8,HIGH,20,160,58000,YES
Faridabad,E141,Emergency Communication Van,9,1,8,HIGH,20,160,68000,YES
Kharagpur,E141,Emergency Communication Van,8,1,7,HIGH,20,140,17000,YES
Raipur,E141,Emergency Communication Van,8,1,7,HIGH,20,140,41000,YES
Gwalior,E141,Emergency Communication Van,8,1,7,HIGH,20,140,37000,YES
Jodhpur,E141,Emergency Communication Van,8,1,7,HIGH,20,140,41000,YES
Ludhiana,E141,Emergency Communication Van,9,1,8,HIGH,20,160,62000,YES
Hubli,E141,Emergency Communication Van,8,1,7,HIGH,20,140,33000,YES
Delhi,E142,Portable Medical Response Unit,20,4,16,HIGH,15,240,650000,YES
Mumbai,E142,Portable Medical Response Unit,18,4,14,HIGH,15,210,500000,YES
Chennai,E142,Portable Medical Response Unit,14,3,11,HIGH,15,165,310000,YES
Bengaluru,E142,Portable Medical Response Unit,15,3,12,HIGH,15,180,320000,YES
Kolkata,E142,Portable Medical Response Unit,13,3,10,HIGH,15,150,210000,YES
Hyderabad,E142,Portable Medical Response Unit,14,3,11,HIGH,15,165,280000,YES
Ahmedabad,E142,Portable Medical Response Unit,13,3,10,HIGH,15,150,230000,YES
Pune,E142,Portable Medical Response Unit,12,3,9,HIGH,15,135,120000,YES
Visakhapatnam,E142,Portable Medical Response Unit,11,3,8,HIGH,15,120,82000,YES
Kochi,E142,Portable Medical Response Unit,11,3,8,HIGH,15,120,52000,YES
Srinagar,E142,Portable Medical Response Unit,9,3,6,MEDIUM,15,90,39000,YES
Lucknow,E142,Portable Medical Response Unit,11,3,8,HIGH,15,120,95000,YES
Agra,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,53000,YES
Varanasi,E142,Portable Medical Response Unit,9,3,6,MEDIUM,15,90,47000,YES
Guwahati,E142,Portable Medical Response Unit,9,3,6,MEDIUM,15,90,35000,YES
Bhubaneswar,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,42000,YES
Jaipur,E142,Portable Medical Response Unit,11,3,8,HIGH,15,120,98000,YES
Patna,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,52000,YES
Howrah,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,51000,YES
Dehradun,E142,Portable Medical Response Unit,9,3,6,MEDIUM,15,90,36000,YES
Surat,E142,Portable Medical Response Unit,12,3,9,HIGH,15,135,140000,YES
Panaji,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,22000,YES
Madurai,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,51000,YES
Thane,E142,Portable Medical Response Unit,11,3,8,HIGH,15,120,76000,YES
Kanpur,E142,Portable Medical Response Unit,11,3,8,HIGH,15,120,85000,YES
Shimla,E142,Portable Medical Response Unit,8,3,5,MEDIUM,15,75,16000,YES
Siliguri,E142,Portable Medical Response Unit,9,3,6,MEDIUM,15,90,30000,YES
Tirupati,E142,Portable Medical Response Unit,9,3,6,MEDIUM,15,90,24000,YES
Amritsar,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,46000,YES
Coimbatore,E142,Portable Medical Response Unit,11,3,8,HIGH,15,120,70000,YES
Vijayawada,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,43000,YES
Mysuru,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,42000,YES
Indore,E142,Portable Medical Response Unit,11,3,8,HIGH,15,120,75000,YES
Asansol,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,56000,YES
Nagpur,E142,Portable Medical Response Unit,11,3,8,HIGH,15,120,70000,YES
Udaipur,E142,Portable Medical Response Unit,9,3,6,MEDIUM,15,90,28000,YES
Aurangabad,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,45000,YES
Ranchi,E142,Portable Medical Response Unit,9,3,6,MEDIUM,15,90,38000,YES
Malda,E142,Portable Medical Response Unit,8,3,5,MEDIUM,15,75,14000,YES
Haldia,E142,Portable Medical Response Unit,9,3,6,MEDIUM,15,90,15000,YES
Raipur,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,41000,YES
Durgapur,E142,Portable Medical Response Unit,9,3,6,MEDIUM,15,90,27000,YES
Jabalpur,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,44000,YES
Gwalior,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,37000,YES
Nashik,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,58000,YES
Ludhiana,E142,Portable Medical Response Unit,11,3,8,HIGH,15,120,62000,YES
Faridabad,E142,Portable Medical Response Unit,10,3,7,MEDIUM,15,105,68000,YES
Kharagpur,E142,Portable Medical Response Unit,9,2,7,HIGH,15,105,17000,YES
Jodhpur,E142,Portable Medical Response Unit,9,2,7,HIGH,15,105,41000,YES
Hubli,E142,Portable Medical Response Unit,9,2,7,HIGH,15,105,33000,YES
Kolkata,E143,Emergency Water Pump,9,1,8,HIGH,10,80,210000,YES
Chennai,E143,Emergency Water Pump,9,1,8,HIGH,10,80,310000,YES
Mumbai,E143,Emergency Water Pump,10,1,9,HIGH,10,90,500000,YES
Howrah,E143,Emergency Water Pump,8,1,7,HIGH,10,70,51000,YES
Visakhapatnam,E143,Emergency Water Pump,8,1,7,HIGH,10,70,82000,YES
Patna,E143,Emergency Water Pump,6,1,5,HIGH,10,50,52000,YES
Siliguri,E143,Emergency Water Pump,7,1,6,HIGH,10,60,30000,YES
Guwahati,E143,Emergency Water Pump,6,1,5,HIGH,10,50,35000,YES
Bhubaneswar,E143,Emergency Water Pump,7,1,6,HIGH,10,60,42000,YES
Bengaluru,E143,Emergency Water Pump,9,1,8,HIGH,10,80,320000,YES
Srinagar,E143,Emergency Water Pump,6,1,5,HIGH,10,50,39000,YES
Delhi,E143,Emergency Water Pump,10,1,9,HIGH,10,90,650000,YES
Kochi,E143,Emergency Water Pump,8,1,7,HIGH,10,70,52000,YES
Hyderabad,E143,Emergency Water Pump,9,1,8,HIGH,10,80,280000,YES
Lucknow,E143,Emergency Water Pump,7,1,6,HIGH,10,60,95000,YES
Asansol,E143,Emergency Water Pump,7,1,6,HIGH,10,60,56000,YES
Haldia,E143,Emergency Water Pump,6,1,5,HIGH,10,50,15000,YES
Dehradun,E143,Emergency Water Pump,6,1,5,HIGH,10,50,36000,YES
Vijayawada,E143,Emergency Water Pump,7,1,6,HIGH,10,60,43000,YES
Durgapur,E143,Emergency Water Pump,7,1,6,HIGH,10,60,27000,YES
Ranchi,E143,Emergency Water Pump,6,1,5,HIGH,10,50,38000,YES
Thane,E143,Emergency Water Pump,8,1,7,HIGH,10,70,76000,YES
Kanpur,E143,Emergency Water Pump,7,1,6,HIGH,10,60,85000,YES
Pune,E143,Emergency Water Pump,8,1,7,HIGH,10,70,120000,YES
Malda,E143,Emergency Water Pump,5,1,4,HIGH,10,40,14000,YES
Kharagpur,E143,Emergency Water Pump,6,1,5,HIGH,10,50,17000,YES
Varanasi,E143,Emergency Water Pump,6,1,5,HIGH,10,50,47000,YES
Ahmedabad,E143,Emergency Water Pump,8,1,7,HIGH,10,70,230000,YES
Raipur,E143,Emergency Water Pump,7,1,6,HIGH,10,60,41000,YES
Madurai,E143,Emergency Water Pump,7,1,6,HIGH,10,60,51000,YES
Faridabad,E143,Emergency Water Pump,8,1,7,HIGH,10,70,68000,YES
Shimla,E143,Emergency Water Pump,5,1,4,HIGH,10,40,16000,YES
Coimbatore,E143,Emergency Water Pump,8,1,7,HIGH,10,70,70000,YES
Surat,E143,Emergency Water Pump,8,1,7,HIGH,10,70,140000,YES
Panaji,E143,Emergency Water Pump,7,1,6,HIGH,10,60,22000,YES
Agra,E143,Emergency Water Pump,6,1,5,HIGH,10,50,53000,YES
Indore,E143,Emergency Water Pump,7,1,6,HIGH,10,60,75000,YES
Tirupati,E143,Emergency Water Pump,6,1,5,HIGH,10,50,24000,YES
Jabalpur,E143,Emergency Water Pump,7,1,6,HIGH,10,60,44000,YES
Nagpur,E143,Emergency Water Pump,7,1,6,HIGH,10,60,70000,YES
Hubli,E143,Emergency Water Pump,6,1,5,HIGH,10,50,33000,YES
Mysuru,E143,Emergency Water Pump,7,1,6,HIGH,10,60,42000,YES
Aurangabad,E143,Emergency Water Pump,6,1,5,HIGH,10,50,45000,YES
Gwalior,E143,Emergency Water Pump,6,1,5,HIGH,10,50,37000,YES
Nashik,E143,Emergency Water Pump,7,1,6,HIGH,10,60,58000,YES
